Batch_ID,Sample_ID,Instrument_Type,Retention_Time,Impurity_A,Impurity_B,Total_Impurity,Purity,Test_Date
BATCH_0054,SMP_00053,HPLC,5.444,0.2301,0.229,0.4591,95.409,2024-10-23
BATCH_0055,SMP_00054,UPLC,5.304,0.2683,0.0732,0.3415,96.585,2024-06-06
BATCH_0056,SMP_00055,HPLC,5.681,0.1231,0.0928,0.2159,97.841,2024-02-26
BATCH_0057,SMP_00056,HPLC,5.315,0.1436,0.2318,0.3754,96.246,2024-02-17
BATCH_0058,SMP_00057,HPLC,5.127,0.1806,0.2636,0.4442,95.558,2024-11-23
BATCH_0059,SMP_00058,HPLC,5.768,0.1545,0.1488,0.3033,96.967,2024-02-25
BATCH_0060,SMP_00059,UPLC,5.527,0.2537,0.0321,0.2858,97.142,2024-03-05
BATCH_0061,SMP_00060,UPLC,4.879,0.2861,0.1666,0.4527,95.473,2024-09-24
BATCH_0062,SMP_00061,UPLC,5.043,0.2724,0.1952,0.4676,95.324,2024-03-09
BATCH_0063,SMP_00062,UPLC,4.992,0.2725,0.1879,0.4604,95.396,2024-08-03
BATCH_0064,SMP_00063,HPLC,5.329,0.4171,0.1349,0.552,94.48,2024-03-29
BATCH_0065,SMP_00064,UPLC,5.314,0.2924,0.1678,0.4602,95.398,2024-10-07
BATCH_0066,SMP_00065,HPLC,5.313,0.3284,0.12,0.4484,95.516,2024-09-13
BATCH_0067,SMP_00066,HPLC,4.874,0.2085,0.0911,0.2996,97.004,2024-06-08
BATCH_0068,SMP_00067,UPLC,5.072,0.3444,0.2405,0.5849,94.151,2024-08-21
BATCH_0069,SMP_00068,HPLC,5.17,0.2038,0.1878,0.3916,96.084,2024-05-10
BATCH_0070,SMP_00069,UPLC,4.836,0.2911,0.1679,0.459,95.41,2024-02-18
BATCH_0071,SMP_00070,UPLC,5.026,0.1129,0.1394,0.2523,97.477,2024-05-26
BATCH_0072,SMP_00071,UPLC,5.471,0.2666,0.1656,0.4322,95.678,2024-11-11
BATCH_0073,SMP_00072,UPLC,4.889,0.1525,0.1928,0.3453,96.547,2024-01-02
BATCH_0074,SMP_00073,UPLC,5.491,0.3436,0.3183,0.6619,93.381,2024-11-24
BATCH_0075,SMP_00074,HPLC,5.418,0.3376,0.2324,0.57,94.3,2024-05-24
BATCH_0076,SMP_00075,UPLC,5.142,0.2033,0.1267,0.33,96.7,2024-03-01
BATCH_0077,SMP_00076,UPLC,5.07,0.455,0.1275,0.5825,94.175,2024-09-29
BATCH_0078,SMP_00077,HPLC,5.366,0.2214,0.1151,0.3365,96.635,2024-02-18
BATCH_0079,SMP_00078,UPLC,5.042,0.0888,0.164,0.2528,97.472,2024-11-27
BATCH_0080,SMP_00079,UPLC,5.052,0.1721,0.115,0.2871,97.129,2024-05-10
BATCH_0081,SMP_00080,HPLC,5.195,0.1456,0.218,0.3636,96.364,2024-02-12
BATCH_0082,SMP_00081,HPLC,4.774,0.288,0.0315,0.3195,96.805,2024-02-26
BATCH_0083,SMP_00082,UPLC,4.91,0.1265,0.2228,0.3493,96.507,2024-02-19
BATCH_0084,SMP_00083,HPLC,5.137,0.1961,0.202,0.3981,96.019,2024-06-26
BATCH_0085,SMP_00084,UPLC,5.295,0.2815,0.281,0.5625,94.375,2024-10-19
BATCH_0086,SMP_00085,HPLC,5.04,0.2639,0.2501,0.514,94.86,2024-02-15
BATCH_0087,SMP_00086,UPLC,5.16,0.2487,0.1253,0.374,96.26,2024-06-18
BATCH_0088,SMP_00087,UPLC,4.877,0.2626,0.2411,0.5037,94.963,2024-09-27
BATCH_0089,SMP_00088,UPLC,5.386,0.2129,0.1666,0.3795,96.205,2024-12-01
BATCH_0090,SMP_00089,HPLC,5.244,0.0896,0.0253,0.1149,98.851,2024-05-18
BATCH_0091,SMP_00090,UPLC,5.262,0.2103,0.1927,0.403,95.97,2024-09-03
BATCH_0092,SMP_00091,HPLC,5.298,0.2969,0.1301,0.427,95.73,2024-05-27
BATCH_0093,SMP_00092,UPLC,5.216,0.2363,0.18,0.4163,95.837,2024-08-17
BATCH_0094,SMP_00093,UPLC,5.103,0.2891,0.3121,0.6012,93.988,2024-10-06
BATCH_0095,SMP_00094,UPLC,5.426,0.1913,0.198,0.3893,96.107,2024-05-04
BATCH_0096,SMP_00095,UPLC,5.231,0.3494,0.0986,0.448,95.52,2024-07-10
BATCH_0097,SMP_00096,UPLC,5.167,0.0056,0.2572,0.2628,97.372,2024-03-20
BATCH_0098,SMP_00097,HPLC,5.198,0.2641,0.209,0.4731,95.269,2024-04-03
BATCH_0099,SMP_00098,HPLC,5.194,0.3849,0.0892,0.4741,95.259,2024-08-13
BATCH_0100,SMP_00099,HPLC,5.165,0.3998,0.0515,0.4513,95.487,2024-03-05
BATCH_0101,SMP_00100,UPLC,5.289,0.2268,0.1018,0.3286,96.714,2024-03-28
BATCH_0102,SMP_00101,UPLC,5.013,0.1174,0.2469,0.3643,96.357,2024-03-28
BATCH_0103,SMP_00102,HPLC,5.027,0.3866,0.1559,0.5425,94.575,2024-07-19
BATCH_0104,SMP_00103,UPLC,5.312,0.2448,0.1865,0.4313,95.687,2024-08-01
BATCH_0105,SMP_00104,UPLC,5.171,0.2341,0.0729,0.307,96.93,2024-07-22
BATCH_0106,SMP_00105,UPLC,5.394,0.1607,0.2491,0.4098,95.902,2024-03-29
BATCH_0107,SMP_00106,HPLC,5.282,0.125,0.0188,0.1438,98.562,2024-03-01
BATCH_0108,SMP_00107,HPLC,5.089,0.3064,0.1276,0.434,95.66,2024-09-27
BATCH_0109,SMP_00108,HPLC,5.315,0.317,0.2135,0.5305,94.695,2024-04-03
BATCH_0110,SMP_00109,HPLC,5.439,0.2702,0.0902,0.3604,96.396,2024-11-02
BATCH_0111,SMP_00110,HPLC,5.289,0.1736,0.2291,0.4027,95.973,2024-01-27
BATCH_0112,SMP_00111,UPLC,5.333,0.1435,0.1105,0.254,97.46,2024-08-01
BATCH_0113,SMP_00112,UPLC,5.166,0.1068,0.0819,0.1887,98.113,2024-03-14
BATCH_0114,SMP_00113,UPLC,5.399,0.1939,0.2829,0.4768,95.232,2024-03-01
BATCH_0115,SMP_00114,UPLC,5.084,0.1494,0.1923,0.3417,96.583,2024-07-04
BATCH_0116,SMP_00115,HPLC,5.268,0.0791,0.2215,0.3006,96.994,2024-01-31
BATCH_0117,SMP_00116,HPLC,5.714,0.3151,0.2615,0.5766,94.234,2024-08-06
BATCH_0118,SMP_00117,UPLC,5.308,0.1181,0.0295,0.1476,98.524,2024-01-12
BATCH_0119,SMP_00118,HPLC,5.116,0.3484,0.2308,0.5792,94.208,2024-10-28
BATCH_0120,SMP_00119,UPLC,5.115,0.2894,0.1191,0.4085,95.915,2024-02-01
BATCH_0121,SMP_00120,UPLC,5.186,0.2794,0.1297,0.4091,95.909,2024-06-08
BATCH_0122,SMP_00121,UPLC,5.37,0.4165,0.215,0.6315,93.685,2024-08-24
BATCH_0123,SMP_00122,UPLC,5.229,0.1214,0.151,0.2724,97.276,2024-08-14
BATCH_0124,SMP_00123,HPLC,5.07,0.3374,0.2276,0.565,94.35,2024-06-29
BATCH_0125,SMP_00124,UPLC,5.07,0.2202,0.1767,0.3969,96.031,2024-11-12
BATCH_0126,SMP_00125,HPLC,5.23,0.5071,0.1935,0.7006,92.994,2024-02-15
BATCH_0127,SMP_00126,UPLC,5.208,0.2119,0.1408,0.3527,96.473,2024-12-06
BATCH_0128,SMP_00127,UPLC,5.291,0.1958,0.0948,0.2906,97.094,2024-03-20
BATCH_0129,SMP_00128,UPLC,5.383,0.2926,0.1208,0.4134,95.866,2024-05-14
BATCH_0130,SMP_00129,UPLC,5.745,0.2291,0.1718,0.4009,95.991,2024-09-16
BATCH_0131,SMP_00130,HPLC,4.908,0.1742,0.327,0.5012,94.988,2024-11-03
BATCH_0132,SMP_00131,UPLC,5.337,0.153,0.2978,0.4508,95.492,2024-09-03
BATCH_0133,SMP_00132,HPLC,5.22,0.3958,0.1277,0.5235,94.765,2024-06-07
BATCH_0134,SMP_00133,UPLC,4.831,0.1337,0.1848,0.3185,96.815,2024-07-21
BATCH_0135,SMP_00134,UPLC,5.45,0.2723,0.157,0.4293,95.707,2024-04-21
BATCH_0136,SMP_00135,UPLC,5.284,0.3556,0.1904,0.546,94.54,2024-10-18
BATCH_0137,SMP_00136,HPLC,5.36,0.3604,0.2007,0.5611,94.389,2024-11-05
BATCH_0138,SMP_00137,UPLC,4.86,0.1898,0.2222,0.412,95.88,2024-04-28
BATCH_0139,SMP_00138,UPLC,5.156,0.2294,0.0521,0.2815,97.185,2024-01-17
BATCH_0140,SMP_00139,UPLC,4.984,0.21,0.2093,0.4193,95.807,2024-11-26
BATCH_0141,SMP_00140,UPLC,5.633,0.0965,0.1481,0.2446,97.554,2024-08-14
BATCH_0142,SMP_00141,UPLC,5.429,0.3038,0.1236,0.4274,95.726,2024-12-26
BATCH_0143,SMP_00142,HPLC,5.064,0.2539,0.2435,0.4974,95.026,2024-04-26
BATCH_0144,SMP_00143,HPLC,4.893,0.3941,0.2973,0.6914,93.086,2024-02-12
BATCH_0145,SMP_00144,UPLC,5.239,0.1677,0.2351,0.4028,95.972,2024-04-24
BATCH_0146,SMP_00145,UPLC,5.418,0.3589,0.1385,0.4974,95.026,2024-10-09
BATCH_0147,SMP_00146,HPLC,4.853,0.3659,0.0939,0.4598,95.402,2024-02-06
BATCH_0148,SMP_00147,UPLC,5.014,0.2547,0.0605,0.3152,96.848,2024-10-28
BATCH_0149,SMP_00148,HPLC,4.979,0.0329,0.1946,0.2275,97.725,2024-04-22
BATCH_0150,SMP_00149,UPLC,5.373,0.1987,0.2263,0.425,95.75,2024-02-04
BATCH_0151,SMP_00150,UPLC,5.126,0.4286,0.1719,0.6005,93.995,2024-05-11
BATCH_0152,SMP_00151,HPLC,5.134,0.2797,0.2547,0.5344,94.656,2024-12-01
BATCH_0153,SMP_00152,UPLC,5.235,0.3193,0.0744,0.3937,96.063,2024-12-01
BATCH_0154,SMP_00153,HPLC,5.024,0.2411,0.1663,0.4074,95.926,2024-08-15
BATCH_0155,SMP_00154,HPLC,4.911,0.2277,0.16,0.3877,96.123,2024-05-26
BATCH_0156,SMP_00155,HPLC,5.474,0.0633,0.1712,0.2345,97.655,2024-05-01
BATCH_0157,SMP_00156,UPLC,5.492,0.3295,0.2734,0.6029,93.971,2024-03-21
BATCH_0158,SMP_00157,HPLC,5.236,0.358,0.1716,0.5296,94.704,2024-06-21
BATCH_0159,SMP_00158,HPLC,5.25,0.1549,0.1564,0.3113,96.887,2024-06-02
BATCH_0160,SMP_00159,UPLC,5.452,0.2321,0.1051,0.3372,96.628,2024-05-29
BATCH_0161,SMP_00160,UPLC,5.231,0.2186,0.2863,0.5049,94.951,2024-02-27
BATCH_0162,SMP_00161,UPLC,5.116,0.292,0.0655,0.3575,96.425,2024-03-03
BATCH_0163,SMP_00162,UPLC,5.208,0.1956,0.1358,0.3314,96.686,2024-06-04
BATCH_0164,SMP_00163,UPLC,5.479,0.3431,0.3155,0.6586,93.414,2024-12-21
BATCH_0165,SMP_00164,UPLC,5.211,0.2571,0.2175,0.4746,95.254,2024-11-17
BATCH_0166,SMP_00165,HPLC,5.066,0.0049,0.1784,0.1833,98.167,2024-06-16
BATCH_0167,SMP_00166,UPLC,5.229,0.2943,0.1817,0.476,95.24,2024-06-14
BATCH_0168,SMP_00167,HPLC,5.331,0.3496,0.1043,0.4539,95.461,2024-03-25
BATCH_0169,SMP_00168,UPLC,5.307,0.1348,0.1745,0.3093,96.907,2024-05-16
BATCH_0170,SMP_00169,HPLC,5.311,0.2909,0.152,0.4429,95.571,2024-07-07
BATCH_0171,SMP_00170,HPLC,5.035,0.433,0.1944,0.6274,93.726,2024-01-02
BATCH_0172,SMP_00171,UPLC,5.354,0.2612,0.0595,0.3207,96.793,2024-04-15
BATCH_0173,SMP_00172,UPLC,5.206,0.3642,0.2118,0.576,94.24,2024-12-29
BATCH_0174,SMP_00173,HPLC,5.058,0.2058,0.2613,0.4671,95.329,2024-03-12
BATCH_0175,SMP_00174,UPLC,5.352,0.2482,0.1637,0.4119,95.881,2024-05-05
BATCH_0176,SMP_00175,UPLC,5.109,0.2295,0.2318,0.4613,95.387,2024-06-18
BATCH_0177,SMP_00176,HPLC,4.885,0.2113,0.2048,0.4161,95.839,2024-07-23
BATCH_0178,SMP_00177,HPLC,5.0,0.2352,0.1314,0.3666,96.334,2024-11-08
BATCH_0179,SMP_00178,HPLC,5.164,0.0869,0.0953,0.1822,98.178,2024-12-02
BATCH_0180,SMP_00179,UPLC,5.316,0.2169,0.1065,0.3234,96.766,2024-07-13
BATCH_0181,SMP_00180,UPLC,5.027,0.3838,0.2034,0.5872,94.128,2024-06-06
BATCH_0182,SMP_00181,UPLC,5.152,0.1536,0.1755,0.3291,96.709,2024-05-20
BATCH_0183,SMP_00182,UPLC,4.957,0.1434,0.282,0.4254,95.746,2024-10-01
BATCH_0184,SMP_00183,HPLC,5.396,0.2561,0.2433,0.4994,95.006,2024-01-07
BATCH_0185,SMP_00184,UPLC,5.543,0.2611,0.2431,0.5042,94.958,2024-02-23
BATCH_0186,SMP_00185,HPLC,5.522,0.2877,0.201,0.4887,95.113,2024-04-13
BATCH_0187,SMP_00186,UPLC,5.393,0.2386,0.103,0.3416,96.584,2024-12-07
BATCH_0188,SMP_00187,UPLC,5.373,0.2572,0.206,0.4632,95.368,2024-12-03
BATCH_0189,SMP_00188,HPLC,4.786,0.2149,0.1851,0.4,96.0,2024-03-01
BATCH_0190,SMP_00189,UPLC,5.235,0.1224,0.0889,0.2113,97.887,2024-03-27
BATCH_0191,SMP_00190,UPLC,5.101,0.2429,0.2768,0.5197,94.803,2024-09-14
BATCH_0192,SMP_00191,HPLC,5.376,0.3225,0.2682,0.5907,94.093,2024-06-26
BATCH_0193,SMP_00192,UPLC,4.692,0.3015,0.0885,0.39,96.1,2024-08-29
BATCH_0194,SMP_00193,HPLC,5.239,0.0756,0.129,0.2046,97.954,2024-07-21
BATCH_0195,SMP_00194,HPLC,5.157,0.2752,0.136,0.4112,95.888,2024-01-31
BATCH_0196,SMP_00195,HPLC,5.424,0.1607,0.2288,0.3895,96.105,2024-10-15
BATCH_0197,SMP_00196,HPLC,5.51,0.3892,0.2196,0.6088,93.912,2024-03-20
BATCH_0198,SMP_00197,UPLC,5.014,0.2826,0.1836,0.4662,95.338,2024-01-11
BATCH_0199,SMP_00198,UPLC,5.023,0.3396,0.2019,0.5415,94.585,2024-09-10
BATCH_0200,SMP_00199,UPLC,5.246,0.2521,0.077,0.3291,96.709,2024-10-13
BATCH_0201,SMP_00200,HPLC,5.547,0.2434,0.2105,0.4539,95.461,2024-06-24
BATCH_0202,SMP_00201,UPLC,5.212,0.3996,0.1719,0.5715,94.285,2024-05-05
BATCH_0203,SMP_00202,UPLC,4.944,0.3473,0.1257,0.473,95.27,2024-02-16
BATCH_0204,SMP_00203,UPLC,5.079,0.2618,0.0574,0.3192,96.808,2024-07-24
BATCH_0205,SMP_00204,UPLC,5.241,0.23,0.1822,0.4122,95.878,2024-04-16
BATCH_0206,SMP_00205,HPLC,5.248,0.0793,0.2086,0.2879,97.121,2024-10-01
BATCH_0207,SMP_00206,HPLC,5.059,0.2825,0.0438,0.3263,96.737,2024-12-02
BATCH_0208,SMP_00207,UPLC,5.075,0.2374,0.1815,0.4189,95.811,2024-05-02
BATCH_0209,SMP_00208,HPLC,5.004,0.3054,0.1898,0.4952,95.048,2024-05-13
BATCH_0210,SMP_00209,UPLC,5.428,0.3358,0.1357,0.4715,95.285,2024-04-16
BATCH_0211,SMP_00210,UPLC,5.033,0.3733,0.2104,0.5837,94.163,2024-10-31
BATCH_0212,SMP_00211,UPLC,5.107,0.2837,0.1694,0.4531,95.469,2024-11-24
BATCH_0213,SMP_00212,HPLC,5.101,0.1454,0.2027,0.3481,96.519,2024-02-19
BATCH_0214,SMP_00213,UPLC,4.879,0.0351,0.2227,0.2578,97.422,2024-12-02
BATCH_0215,SMP_00214,HPLC,5.027,0.1675,0.2228,0.3903,96.097,2024-04-04
BATCH_0216,SMP_00215,HPLC,5.446,0.3833,0.2613,0.6446,93.554,2024-09-24
BATCH_0217,SMP_00216,UPLC,4.958,0.4323,0.2071,0.6394,93.606,2024-01-23
BATCH_0218,SMP_00217,HPLC,5.007,0.2262,0.1418,0.368,96.32,2024-02-23
BATCH_0219,SMP_00218,HPLC,4.933,0.1039,0.1282,0.2321,97.679,2024-09-10
BATCH_0220,SMP_00219,UPLC,5.182,0.1852,0.0949,0.2801,97.199,2024-08-22
BATCH_0221,SMP_00220,HPLC,5.577,0.3638,0.1921,0.5559,94.441,2024-02-28
BATCH_0222,SMP_00221,HPLC,5.173,0.1909,0.2857,0.4766,95.234,2024-06-12
BATCH_0223,SMP_00222,UPLC,5.213,0.3089,0.1513,0.4602,95.398,2024-09-15
BATCH_0224,SMP_00223,UPLC,5.041,0.2669,0.216,0.4829,95.171,2024-11-09
BATCH_0225,SMP_00224,HPLC,5.188,0.321,0.1198,0.4408,95.592,2024-08-03
BATCH_0226,SMP_00225,UPLC,5.446,0.4318,0.1956,0.6274,93.726,2024-07-01
BATCH_0227,SMP_00226,UPLC,5.229,0.309,0.2807,0.5897,94.103,2024-02-26
BATCH_0228,SMP_00227,HPLC,5.626,0.2647,0.2349,0.4996,95.004,2024-05-24
BATCH_0229,SMP_00228,HPLC,5.452,0.4428,0.0543,0.4971,95.029,2024-03-30
BATCH_0230,SMP_00229,UPLC,5.183,0.285,0.2257,0.5107,94.893,2024-11-06
BATCH_0231,SMP_00230,HPLC,5.179,0.1707,0.2293,0.4,96.0,2024-02-14
BATCH_0232,SMP_00231,UPLC,5.526,0.3187,0.1939,0.5126,94.874,2024-09-13
BATCH_0233,SMP_00232,UPLC,5.227,0.2947,0.2334,0.5281,94.719,2024-01-21
BATCH_0234,SMP_00233,HPLC,5.482,0.2192,0.1133,0.3325,96.675,2024-01-21
BATCH_0235,SMP_00234,HPLC,5.601,0.1982,0.1851,0.3833,96.167,2024-02-21
BATCH_0236,SMP_00235,UPLC,5.159,0.2202,0.2688,0.489,95.11,2024-12-03
BATCH_0237,SMP_00236,UPLC,5.27,0.1968,0.2616,0.4584,95.416,2024-06-19
BATCH_0238,SMP_00237,UPLC,5.396,0.2234,0.2238,0.4472,95.528,2024-03-07
BATCH_0239,SMP_00238,UPLC,5.354,0.1657,0.1094,0.2751,97.249,2024-04-22
BATCH_0240,SMP_00239,HPLC,5.352,0.2886,0.0968,0.3854,96.146,2024-10-26
BATCH_0241,SMP_00240,UPLC,4.933,0.2811,0.1892,0.4703,95.297,2024-06-08
BATCH_0242,SMP_00241,HPLC,5.03,0.2845,0.1945,0.479,95.21,2024-09-22
BATCH_0243,SMP_00242,HPLC,5.101,0.2438,0.172,0.4158,95.842,2024-11-15
BATCH_0244,SMP_00243,UPLC,5.443,0.2322,0.1156,0.3478,96.522,2024-08-19
BATCH_0245,SMP_00244,HPLC,4.953,0.3942,0.215,0.6092,93.908,2024-11-20
BATCH_0246,SMP_00245,HPLC,5.505,0.2567,0.1888,0.4455,95.545,2024-03-08
BATCH_0247,SMP_00246,UPLC,5.356,0.3764,0.2032,0.5796,94.204,2024-01-28
BATCH_0248,SMP_00247,HPLC,5.431,0.1504,0.2275,0.3779,96.221,2024-04-25
BATCH_0249,SMP_00248,HPLC,5.014,0.3089,0.1581,0.467,95.33,2024-02-20
BATCH_0250,SMP_00249,UPLC,5.214,0.1765,0.1409,0.3174,96.826,2024-06-29
BATCH_0251,SMP_00250,UPLC,5.26,0.1944,0.2686,0.463,95.37,2024-09-16
BATCH_0252,SMP_00251,UPLC,5.251,0.2088,0.1194,0.3282,96.718,2024-03-19
BATCH_0253,SMP_00252,UPLC,5.259,0.2025,0.1425,0.345,96.55,2024-09-29
BATCH_0254,SMP_00253,UPLC,5.145,0.203,0.2787,0.4817,95.183,2024-04-17
BATCH_0255,SMP_00254,UPLC,5.227,0.3717,0.1362,0.5079,94.921,2024-03-14
BATCH_0256,SMP_00255,UPLC,5.407,0.2545,0.1721,0.4266,95.734,2024-06-23
BATCH_0257,SMP_00256,HPLC,4.967,0.2725,0.147,0.4195,95.805,2024-07-02
BATCH_0258,SMP_00257,HPLC,5.509,0.2043,0.0373,0.2416,97.584,2024-01-23
BATCH_0259,SMP_00258,UPLC,5.396,0.3357,0.1701,0.5058,94.942,2024-09-30
BATCH_0260,SMP_00259,HPLC,5.007,0.2855,0.0992,0.3847,96.153,2024-05-08
BATCH_0261,SMP_00260,HPLC,5.277,0.2191,0.2004,0.4195,95.805,2024-10-17
BATCH_0262,SMP_00261,UPLC,5.38,0.0916,0.2685,0.3601,96.399,2024-11-15
BATCH_0263,SMP_00262,HPLC,4.953,0.2716,0.0029,0.2745,97.255,2024-07-04
BATCH_0264,SMP_00263,UPLC,5.208,0.3076,0.1474,0.455,95.45,2024-02-28
BATCH_0265,SMP_00264,HPLC,5.184,0.1521,0.2162,0.3683,96.317,2024-01-01
BATCH_0266,SMP_00265,UPLC,5.071,0.2205,0.0053,0.2258,97.742,2024-05-10
BATCH_0267,SMP_00266,HPLC,5.218,0.3037,0.2869,0.5906,94.094,2024-03-07
BATCH_0268,SMP_00267,HPLC,5.08,0.0929,0.2104,0.3033,96.967,2024-10-19
BATCH_0269,SMP_00268,HPLC,5.475,0.1851,0.2667,0.4518,95.482,2024-10-11
BATCH_0270,SMP_00269,UPLC,5.075,0.2877,0.1349,0.4226,95.774,2024-03-29
BATCH_0271,SMP_00270,HPLC,5.358,0.3605,0.1445,0.505,94.95,2024-04-09
BATCH_0272,SMP_00271,HPLC,4.869,0.4686,0.1671,0.6357,93.643,2024-07-07
BATCH_0273,SMP_00272,UPLC,5.168,0.4459,0.3511,0.797,92.03,2024-12-11
BATCH_0274,SMP_00273,UPLC,5.202,0.2644,0.2854,0.5498,94.502,2024-08-28
BATCH_0275,SMP_00274,HPLC,5.161,0.2016,0.1906,0.3922,96.078,2024-09-26
BATCH_0276,SMP_00275,HPLC,5.121,0.3423,0.2004,0.5427,94.573,2024-08-06
BATCH_0277,SMP_00276,HPLC,5.066,0.1956,0.2308,0.4264,95.736,2024-06-24
BATCH_0278,SMP_00277,HPLC,5.351,0.1738,0.3713,0.5451,94.549,2024-12-06
BATCH_0279,SMP_00278,UPLC,5.4,0.2195,0.2106,0.4301,95.699,2024-08-20
