Batch_ID,Time_Point_Month,Storage_Temperature,Potency,Degradation
BATCH_0044,9,30,96.24,3.76
BATCH_0044,12,40,95.23,4.77
BATCH_0045,0,30,99.38,0.62
BATCH_0045,1,40,98.81,1.19
BATCH_0045,3,25,98.3,1.7
BATCH_0045,6,40,96.92,3.08
BATCH_0045,9,40,96.76,3.24
BATCH_0045,12,40,95.48,4.52
BATCH_0046,0,25,101.36,0.0
BATCH_0046,1,25,102.17,0.0
BATCH_0046,3,25,100.67,0.0
BATCH_0046,6,40,100.18,0.0
BATCH_0046,9,30,98.2,1.8
BATCH_0046,12,25,98.53,1.47
BATCH_0047,0,40,102.15,0.0
BATCH_0047,1,40,101.39,0.0
BATCH_0047,3,40,101.69,0.0
BATCH_0047,6,30,100.74,0.0
BATCH_0047,9,25,98.31,1.69
BATCH_0047,12,25,98.28,1.72
BATCH_0048,0,25,100.82,0.0
BATCH_0048,1,40,99.2,0.8
BATCH_0048,3,25,99.87,0.13
BATCH_0048,6,25,98.42,1.58
BATCH_0048,9,40,98.01,1.99
BATCH_0048,12,25,96.38,3.62
BATCH_0049,0,25,99.69,0.31
BATCH_0049,1,40,98.93,1.07
BATCH_0049,3,40,98.45,1.55
BATCH_0049,6,25,97.5,2.5
BATCH_0049,9,30,96.8,3.2
BATCH_0049,12,25,95.33,4.67
BATCH_0050,0,30,99.06,0.94
BATCH_0050,1,40,99.34,0.66
BATCH_0050,3,30,98.75,1.25
BATCH_0050,6,25,97.82,2.18
BATCH_0050,9,30,96.99,3.01
BATCH_0050,12,30,96.28,3.72
BATCH_0051,0,40,99.72,0.28
BATCH_0051,1,40,98.8,1.2
BATCH_0051,3,30,98.24,1.76
BATCH_0051,6,25,97.76,2.24
BATCH_0051,9,40,96.44,3.56
BATCH_0051,12,25,95.59,4.41
BATCH_0052,0,30,98.02,1.98
BATCH_0052,1,30,97.11,2.89
BATCH_0052,3,25,96.46,3.54
BATCH_0052,6,30,95.93,4.07
BATCH_0052,9,40,95.36,4.64
BATCH_0052,12,25,93.63,6.37
BATCH_0053,0,40,101.57,0.0
BATCH_0053,1,30,100.87,0.0
BATCH_0053,3,25,100.38,0.0
BATCH_0053,6,30,99.6,0.4
BATCH_0053,9,40,98.2,1.8
BATCH_0053,12,30,97.75,2.25
BATCH_0054,0,30,98.41,1.59
BATCH_0054,1,25,97.4,2.6
BATCH_0054,3,30,96.51,3.49
BATCH_0054,6,25,96.36,3.64
BATCH_0054,9,30,95.25,4.75
BATCH_0054,12,40,93.97,6.03
BATCH_0055,0,30,100.37,0.0
BATCH_0055,1,30,99.08,0.92
BATCH_0055,3,30,97.74,2.26
BATCH_0055,6,40,98.5,1.5
BATCH_0055,9,40,97.56,2.44
BATCH_0055,12,25,95.92,4.08
BATCH_0056,0,25,97.67,2.33
BATCH_0056,1,30,96.96,3.04
BATCH_0056,3,25,95.48,4.52
BATCH_0056,6,25,95.18,4.82
BATCH_0056,9,25,94.33,5.67
BATCH_0056,12,30,93.74,6.26
BATCH_0057,0,25,97.63,2.37
BATCH_0057,1,25,97.45,2.55
BATCH_0057,3,25,97.24,2.76
BATCH_0057,6,30,97.45,2.55
BATCH_0057,9,40,94.5,5.5
BATCH_0057,12,30,94.89,5.11
BATCH_0058,0,40,100.94,0.0
BATCH_0058,1,40,99.42,0.58
BATCH_0058,3,40,99.52,0.48
BATCH_0058,6,40,98.15,1.85
BATCH_0058,9,25,97.47,2.53
BATCH_0058,12,30,96.06,3.94
BATCH_0059,0,30,100.63,0.0
BATCH_0059,1,40,100.65,0.0
BATCH_0059,3,40,100.23,0.0
BATCH_0059,6,40,99.09,0.91
BATCH_0059,9,25,98.22,1.78
BATCH_0059,12,40,97.35,2.65
BATCH_0060,0,40,100.23,0.0
BATCH_0060,1,25,99.55,0.45
BATCH_0060,3,30,99.03,0.97
BATCH_0060,6,25,98.48,1.52
BATCH_0060,9,30,98.03,1.97
BATCH_0060,12,30,96.07,3.93
BATCH_0061,0,40,99.66,0.34
BATCH_0061,1,40,98.72,1.28
BATCH_0061,3,25,98.63,1.37
BATCH_0061,6,25,98.03,1.97
BATCH_0061,9,25,95.72,4.28
BATCH_0061,12,40,95.17,4.83
BATCH_0062,0,40,98.92,1.08
BATCH_0062,1,30,99.85,0.15
BATCH_0062,3,30,98.34,1.66
BATCH_0062,6,30,97.33,2.67
BATCH_0062,9,40,95.92,4.08
BATCH_0062,12,40,95.71,4.29
BATCH_0063,0,25,101.0,0.0
BATCH_0063,1,40,100.35,0.0
BATCH_0063,3,25,99.26,0.74
BATCH_0063,6,30,97.96,2.04
BATCH_0063,9,30,97.52,2.48
BATCH_0063,12,25,95.93,4.07
BATCH_0064,0,40,99.15,0.85
BATCH_0064,1,25,99.24,0.76
BATCH_0064,3,25,99.24,0.76
BATCH_0064,6,40,97.6,2.4
BATCH_0064,9,30,97.69,2.31
BATCH_0064,12,30,96.26,3.74
BATCH_0065,0,30,100.71,0.0
BATCH_0065,1,25,101.07,0.0
BATCH_0065,3,40,100.12,0.0
BATCH_0065,6,30,98.79,1.21
BATCH_0065,9,40,98.08,1.92
BATCH_0065,12,25,98.22,1.78
BATCH_0066,0,40,100.04,0.0
BATCH_0066,1,25,98.94,1.06
BATCH_0066,3,40,98.3,1.7
BATCH_0066,6,25,98.0,2.0
BATCH_0066,9,30,96.85,3.15
BATCH_0066,12,25,95.42,4.58
BATCH_0067,0,25,97.32,2.68
BATCH_0067,1,25,96.98,3.02
BATCH_0067,3,40,96.62,3.38
BATCH_0067,6,25,95.13,4.87
BATCH_0067,9,30,94.8,5.2
BATCH_0067,12,25,94.46,5.54
BATCH_0068,0,25,99.07,0.93
BATCH_0068,1,30,99.34,0.66
BATCH_0068,3,40,98.41,1.59
BATCH_0068,6,30,97.25,2.75
BATCH_0068,9,40,96.64,3.36
BATCH_0068,12,25,95.73,4.27
BATCH_0069,0,25,100.61,0.0
BATCH_0069,1,40,100.94,0.0
BATCH_0069,3,40,98.92,1.08
BATCH_0069,6,40,98.65,1.35
BATCH_0069,9,25,97.36,2.64
BATCH_0069,12,40,96.25,3.75
BATCH_0070,0,25,100.56,0.0
BATCH_0070,1,25,100.14,0.0
BATCH_0070,3,25,100.29,0.0
BATCH_0070,6,30,98.73,1.27
BATCH_0070,9,30,97.87,2.13
BATCH_0070,12,40,96.99,3.01
BATCH_0071,0,25,101.83,0.0
BATCH_0071,1,40,100.93,0.0
BATCH_0071,3,40,100.38,0.0
BATCH_0071,6,25,99.52,0.48
BATCH_0071,9,25,98.3,1.7
BATCH_0071,12,25,97.05,2.95
BATCH_0072,0,40,99.82,0.18
BATCH_0072,1,40,98.91,1.09
BATCH_0072,3,40,98.79,1.21
BATCH_0072,6,25,98.45,1.55
BATCH_0072,9,25,97.07,2.93
BATCH_0072,12,25,95.48,4.52
BATCH_0073,0,40,101.37,0.0
BATCH_0073,1,30,99.99,0.01
BATCH_0073,3,40,99.44,0.56
BATCH_0073,6,25,98.45,1.55
BATCH_0073,9,30,97.55,2.45
BATCH_0073,12,25,97.24,2.76
BATCH_0074,0,40,101.02,0.0
BATCH_0074,1,25,101.04,0.0
BATCH_0074,3,40,99.07,0.93
BATCH_0074,6,30,99.93,0.07
BATCH_0074,9,30,98.0,2.0
BATCH_0074,12,40,97.25,2.75
BATCH_0075,0,25,102.13,0.0
BATCH_0075,1,30,101.32,0.0
BATCH_0075,3,25,101.32,0.0
BATCH_0075,6,40,101.05,0.0
BATCH_0075,9,30,99.93,0.07
BATCH_0075,12,25,99.17,0.83
BATCH_0076,0,40,100.49,0.0
BATCH_0076,1,40,100.37,0.0
BATCH_0076,3,40,99.47,0.53
BATCH_0076,6,40,98.85,1.15
BATCH_0076,9,25,98.14,1.86
BATCH_0076,12,25,96.68,3.32
BATCH_0077,0,25,101.19,0.0
BATCH_0077,1,40,102.84,0.0
BATCH_0077,3,25,102.09,0.0
BATCH_0077,6,40,100.76,0.0
BATCH_0077,9,40,99.06,0.94
BATCH_0077,12,30,98.51,1.49
BATCH_0078,0,40,100.99,0.0
BATCH_0078,1,30,101.33,0.0
BATCH_0078,3,40,100.65,0.0
BATCH_0078,6,25,99.51,0.49
BATCH_0078,9,30,96.38,3.62
BATCH_0078,12,40,97.03,2.97
BATCH_0079,0,40,98.85,1.15
BATCH_0079,1,40,98.8,1.2
BATCH_0079,3,30,98.99,1.01
BATCH_0079,6,25,96.04,3.96
BATCH_0079,9,40,96.44,3.56
BATCH_0079,12,40,95.77,4.23
BATCH_0080,0,40,99.66,0.34
BATCH_0080,1,30,100.61,0.0
BATCH_0080,3,30,99.6,0.4
BATCH_0080,6,25,98.72,1.28
BATCH_0080,9,30,96.83,3.17
BATCH_0080,12,40,97.29,2.71
BATCH_0081,0,40,99.49,0.51
BATCH_0081,1,30,100.15,0.0
BATCH_0081,3,30,98.78,1.22
BATCH_0081,6,25,98.0,2.0
BATCH_0081,9,25,97.14,2.86
BATCH_0081,12,30,95.79,4.21
BATCH_0082,0,30,101.4,0.0
BATCH_0082,1,30,102.0,0.0
BATCH_0082,3,40,100.53,0.0
BATCH_0082,6,40,99.54,0.46
BATCH_0082,9,25,98.03,1.97
BATCH_0082,12,25,97.97,2.03
BATCH_0083,0,30,100.06,0.0
BATCH_0083,1,40,100.5,0.0
BATCH_0083,3,25,100.3,0.0
BATCH_0083,6,30,99.29,0.71
BATCH_0083,9,40,97.51,2.49
BATCH_0083,12,25,96.66,3.34
BATCH_0084,0,25,99.29,0.71
BATCH_0084,1,40,98.86,1.14
BATCH_0084,3,40,98.28,1.72
BATCH_0084,6,40,97.87,2.13
BATCH_0084,9,25,97.04,2.96
BATCH_0084,12,40,96.05,3.95
BATCH_0085,0,40,100.26,0.0
BATCH_0085,1,40,99.41,0.59
BATCH_0085,3,30,99.21,0.79
BATCH_0085,6,25,98.67,1.33
BATCH_0085,9,30,97.08,2.92
BATCH_0085,12,40,96.71,3.29
BATCH_0086,0,25,101.42,0.0
BATCH_0086,1,30,101.32,0.0
BATCH_0086,3,25,100.36,0.0
BATCH_0086,6,30,99.26,0.74
BATCH_0086,9,30,97.88,2.12
BATCH_0086,12,40,97.43,2.57
BATCH_0087,0,25,100.27,0.0
BATCH_0087,1,40,100.14,0.0
BATCH_0087,3,25,100.51,0.0
BATCH_0087,6,30,98.79,1.21
BATCH_0087,9,40,97.27,2.73
BATCH_0087,12,25,97.47,2.53
BATCH_0088,0,40,100.9,0.0
BATCH_0088,1,30,101.33,0.0
BATCH_0088,3,25,100.66,0.0
BATCH_0088,6,25,98.98,1.02
BATCH_0088,9,40,99.38,0.62
BATCH_0088,12,25,98.76,1.24
BATCH_0089,0,40,99.95,0.05
BATCH_0089,1,25,99.23,0.77
BATCH_0089,3,30,98.83,1.17
BATCH_0089,6,30,98.82,1.18
BATCH_0089,9,40,96.54,3.46
BATCH_0089,12,25,96.9,3.1
BATCH_0090,0,40,100.33,0.0
BATCH_0090,1,30,99.21,0.79
BATCH_0090,3,30,98.24,1.76
BATCH_0090,6,30,97.98,2.02
BATCH_0090,9,40,97.37,2.63
BATCH_0090,12,40,96.5,3.5
BATCH_0091,0,25,100.31,0.0
BATCH_0091,1,40,99.47,0.53
BATCH_0091,3,40,98.38,1.62
BATCH_0091,6,30,97.99,2.01
BATCH_0091,9,40,98.06,1.94
BATCH_0091,12,40,96.69,3.31
BATCH_0092,0,25,100.36,0.0
BATCH_0092,1,25,101.55,0.0
BATCH_0092,3,40,100.3,0.0
BATCH_0092,6,30,99.78,0.22
BATCH_0092,9,40,97.66,2.34
BATCH_0092,12,40,97.09,2.91
BATCH_0093,0,25,101.25,0.0
BATCH_0093,1,30,100.58,0.0
BATCH_0093,3,30,100.32,0.0
BATCH_0093,6,30,99.23,0.77
BATCH_0093,9,30,98.34,1.66
BATCH_0093,12,25,97.31,2.69
BATCH_0094,0,40,99.82,0.18
BATCH_0094,1,25,99.01,0.99
BATCH_0094,3,25,98.32,1.68
BATCH_0094,6,30,97.83,2.17
BATCH_0094,9,30,95.91,4.09
BATCH_0094,12,30,95.67,4.33
BATCH_0095,0,25,100.15,0.0
BATCH_0095,1,25,99.47,0.53
BATCH_0095,3,25,100.63,0.0
BATCH_0095,6,25,98.43,1.57
BATCH_0095,9,40,97.97,2.03
BATCH_0095,12,40,97.54,2.46
BATCH_0096,0,25,100.77,0.0
BATCH_0096,1,30,100.65,0.0
BATCH_0096,3,25,100.0,0.0
BATCH_0096,6,25,97.36,2.64
BATCH_0096,9,30,97.01,2.99
BATCH_0096,12,30,96.89,3.11
BATCH_0097,0,30,100.23,0.0
BATCH_0097,1,25,99.73,0.27
BATCH_0097,3,40,98.99,1.01
BATCH_0097,6,40,97.7,2.3
BATCH_0097,9,25,98.08,1.92
BATCH_0097,12,25,96.37,3.63
BATCH_0098,0,30,100.27,0.0
BATCH_0098,1,30,101.33,0.0
BATCH_0098,3,30,99.97,0.03
BATCH_0098,6,30,98.56,1.44
BATCH_0098,9,30,98.49,1.51
BATCH_0098,12,30,97.08,2.92
BATCH_0099,0,25,103.61,0.0
BATCH_0099,1,25,102.21,0.0
BATCH_0099,3,40,101.19,0.0
BATCH_0099,6,25,100.22,0.0
BATCH_0099,9,30,99.05,0.95
BATCH_0099,12,30,98.09,1.91
BATCH_0100,0,40,100.32,0.0
BATCH_0100,1,30,99.87,0.13
BATCH_0100,3,30,99.48,0.52
BATCH_0100,6,30,98.61,1.39
BATCH_0100,9,40,98.11,1.89
BATCH_0100,12,25,95.98,4.02
BATCH_0101,0,30,100.97,0.0
BATCH_0101,1,30,101.32,0.0
BATCH_0101,3,25,99.65,0.35
BATCH_0101,6,30,98.71,1.29
BATCH_0101,9,25,98.39,1.61
BATCH_0101,12,30,97.88,2.12
BATCH_0102,0,40,100.54,0.0
BATCH_0102,1,40,99.67,0.33
BATCH_0102,3,25,99.55,0.45
BATCH_0102,6,25,98.52,1.48
BATCH_0102,9,40,97.12,2.88
BATCH_0102,12,30,95.85,4.15
BATCH_0103,0,25,102.55,0.0
BATCH_0103,1,25,101.92,0.0
BATCH_0103,3,25,99.77,0.23
BATCH_0103,6,30,100.62,0.0
BATCH_0103,9,25,98.45,1.55
BATCH_0103,12,40,98.54,1.46
BATCH_0104,0,30,100.8,0.0
BATCH_0104,1,40,100.51,0.0
BATCH_0104,3,40,101.06,0.0
BATCH_0104,6,30,98.69,1.31
BATCH_0104,9,25,98.23,1.77
BATCH_0104,12,25,97.13,2.87
BATCH_0105,0,25,102.43,0.0
BATCH_0105,1,40,100.79,0.0
BATCH_0105,3,25,100.74,0.0
BATCH_0105,6,25,100.29,0.0
BATCH_0105,9,25,98.99,1.01
BATCH_0105,12,25,97.52,2.48
BATCH_0106,0,25,100.21,0.0
BATCH_0106,1,40,98.32,1.68
BATCH_0106,3,30,97.96,2.04
BATCH_0106,6,25,97.45,2.55
BATCH_0106,9,40,96.43,3.57
BATCH_0106,12,30,95.48,4.52
BATCH_0107,0,40,98.3,1.7
BATCH_0107,1,40,98.4,1.6
BATCH_0107,3,30,98.34,1.66
BATCH_0107,6,30,96.93,3.07
BATCH_0107,9,30,95.5,4.5
BATCH_0107,12,30,94.48,5.52
BATCH_0108,0,30,99.24,0.76
BATCH_0108,1,25,98.73,1.27
BATCH_0108,3,30,97.48,2.52
BATCH_0108,6,25,98.19,1.81
BATCH_0108,9,30,96.46,3.54
BATCH_0108,12,30,95.99,4.01
BATCH_0109,0,30,102.24,0.0
BATCH_0109,1,30,100.81,0.0
BATCH_0109,3,30,101.85,0.0
BATCH_0109,6,40,100.09,0.0
BATCH_0109,9,30,98.85,1.15
BATCH_0109,12,30,98.65,1.35
BATCH_0110,0,40,99.14,0.86
BATCH_0110,1,40,97.81,2.19
BATCH_0110,3,40,97.3,2.7
BATCH_0110,6,30,96.39,3.61
BATCH_0110,9,40,95.92,4.08
BATCH_0110,12,40,95.87,4.13
BATCH_0111,0,30,98.76,1.24
BATCH_0111,1,30,98.74,1.26
BATCH_0111,3,40,98.4,1.6
BATCH_0111,6,25,97.22,2.78
BATCH_0111,9,30,96.4,3.6
BATCH_0111,12,25,96.12,3.88
BATCH_0112,0,25,101.74,0.0
BATCH_0112,1,40,101.81,0.0
BATCH_0112,3,30,101.29,0.0
BATCH_0112,6,25,98.8,1.2
BATCH_0112,9,40,97.95,2.05
BATCH_0112,12,25,98.06,1.94
BATCH_0113,0,40,99.27,0.73
BATCH_0113,1,30,99.27,0.73
BATCH_0113,3,30,98.03,1.97
BATCH_0113,6,30,98.13,1.87
BATCH_0113,9,40,96.38,3.62
BATCH_0113,12,25,96.22,3.78
BATCH_0114,0,25,99.43,0.57
BATCH_0114,1,25,98.29,1.71
BATCH_0114,3,40,97.92,2.08
BATCH_0114,6,40,98.0,2.0
BATCH_0114,9,30,97.57,2.43
BATCH_0114,12,40,95.9,4.1
BATCH_0115,0,40,99.7,0.3
BATCH_0115,1,25,100.46,0.0
BATCH_0115,3,40,99.33,0.67
BATCH_0115,6,25,99.04,0.96
BATCH_0115,9,40,97.59,2.41
BATCH_0115,12,40,96.24,3.76
BATCH_0116,0,30,98.45,1.55
BATCH_0116,1,30,97.38,2.62
BATCH_0116,3,40,96.95,3.05
BATCH_0116,6,30,96.53,3.47
BATCH_0116,9,30,96.1,3.9
BATCH_0116,12,30,94.33,5.67
