Batch_ID,Product_Name,Manufacturing_Site,Manufacturing_Line,Batch_Start_Time,Reaction_Time,Reactor_Temp,Pressure,pH,Agitation_Speed,Yield,Batch_Status,Batch_End_Time
BATCH_0121,AmoxiTab,Plant_A,Line_3,2024-02-26,7.06,82.19,1.69,7.01,193.0,95.29,Pass,2024-02-26 07:03:36.000000000
BATCH_0122,AtorvaCap,Plant_B,Line_3,2024-11-06,7.19,76.05,1.13,6.96,191.0,92.18,Pass,2024-11-06 07:11:24.000000000
BATCH_0123,MetforminXR,Plant_A,Line_3,2024-10-29,10.57,85.87,2.03,7.44,215.0,93.86,Pass,2024-10-29 10:34:11.999999999
BATCH_0124,AtorvaCap,Plant_A,Line_3,2024-01-12,9.16,79.7,2.05,6.9,219.0,93.78,Pass,2024-01-12 09:09:36.000000000
BATCH_0125,AtorvaCap,Plant_B,Line_1,2024-11-13,7.28,77.76,1.68,6.5,233.0,89.49,Pass,2024-11-13 07:16:48.000000000
BATCH_0126,AmoxiTab,Plant_B,Line_3,2024-03-20,4.32,72.82,2.1,6.12,240.0,96.2,Pass,2024-03-20 04:19:12.000000000
BATCH_0127,AtorvaCap,Plant_A,Line_2,2024-08-03,5.68,69.52,1.61,6.48,187.0,89.8,Pass,2024-08-03 05:40:48.000000000
BATCH_0128,AmoxiTab,Plant_B,Line_2,2024-12-04,8.76,73.91,1.73,7.4,196.0,93.64,Pass,2024-12-04 08:45:36.000000000
BATCH_0129,AtorvaCap,Plant_B,Line_3,2024-09-20,4.82,69.38,1.88,6.3,191.0,96.95,Pass,2024-09-20 04:49:12.000000000
BATCH_0130,MetforminXR,Plant_A,Line_3,2024-05-28,8.44,78.25,1.55,6.94,262.0,97.52,Pass,2024-05-28 08:26:24.000000000
BATCH_0131,AtorvaCap,Plant_B,Line_2,2024-03-21,6.4,83.16,1.03,7.21,216.0,90.93,Pass,2024-03-21 06:24:00.000000000
BATCH_0132,AmoxiTab,Plant_A,Line_2,2024-08-02,8.14,73.7,1.74,6.91,220.0,93.85,Pass,2024-08-02 08:08:24.000000000
BATCH_0133,AmoxiTab,Plant_B,Line_1,2024-07-16,8.1,79.72,1.36,6.96,222.0,90.56,Pass,2024-07-16 08:06:00.000000000
BATCH_0134,MetforminXR,Plant_A,Line_2,2024-07-18,8.18,71.55,1.38,7.06,199.0,102.02,Pass,2024-07-18 08:10:48.000000000
BATCH_0135,AtorvaCap,Plant_A,Line_2,2024-01-25,7.41,73.49,1.59,6.95,267.0,95.12,Pass,2024-01-25 07:24:36.000000000
BATCH_0136,AtorvaCap,Plant_A,Line_3,2024-03-29,7.36,70.93,1.67,7.44,232.0,92.34,Pass,2024-03-29 07:21:36.000000000
BATCH_0137,MetforminXR,Plant_B,Line_2,2024-09-24,6.92,64.33,1.55,6.38,221.0,93.25,Pass,2024-09-24 06:55:12.000000000
BATCH_0138,AtorvaCap,Plant_A,Line_1,2024-05-22,8.73,74.82,1.69,6.9,187.0,93.63,Pass,2024-05-22 08:43:48.000000000
BATCH_0139,AtorvaCap,Plant_B,Line_2,2024-02-28,9.21,75.64,1.29,6.07,185.0,93.75,Pass,2024-02-28 09:12:36.000000000
BATCH_0140,AmoxiTab,Plant_A,Line_3,2024-12-30,6.17,80.33,1.49,5.97,211.0,91.04,Pass,2024-12-30 06:10:12.000000000
BATCH_0141,AtorvaCap,Plant_A,Line_3,2024-01-26,7.92,78.98,1.75,6.77,199.0,90.42,Pass,2024-01-26 07:55:12.000000000
BATCH_0142,AtorvaCap,Plant_B,Line_2,2024-02-16,8.29,79.04,2.03,7.02,188.0,91.39,Pass,2024-02-16 08:17:23.999999999
BATCH_0143,MetforminXR,Plant_A,Line_3,2024-10-14,8.28,70.13,2.14,7.45,209.0,87.44,Pass,2024-10-14 08:16:48.000000000
BATCH_0144,MetforminXR,Plant_A,Line_1,2024-09-22,8.25,77.3,1.63,7.77,214.0,94.87,Pass,2024-09-22 08:15:00.000000000
BATCH_0145,AmoxiTab,Plant_B,Line_1,2024-01-16,7.4,82.91,1.75,7.33,224.0,88.79,Pass,2024-01-16 07:24:00.000000000
BATCH_0146,AtorvaCap,Plant_A,Line_2,2024-07-17,8.42,76.9,2.09,7.09,205.0,87.76,Pass,2024-07-17 08:25:12.000000000
BATCH_0147,AtorvaCap,Plant_A,Line_2,2024-10-08,8.93,84.14,1.3,6.86,190.0,91.94,Pass,2024-10-08 08:55:48.000000000
BATCH_0148,AtorvaCap,Plant_A,Line_2,2024-03-26,8.21,85.09,1.69,6.19,191.0,91.48,Pass,2024-03-26 08:12:36.000000000
BATCH_0149,AmoxiTab,Plant_A,Line_3,2024-09-06,8.76,73.66,1.73,6.74,256.0,93.0,Pass,2024-09-06 08:45:36.000000000
BATCH_0150,AmoxiTab,Plant_B,Line_1,2024-09-26,9.49,71.52,1.93,7.32,182.0,89.73,Pass,2024-09-26 09:29:24.000000000
BATCH_0151,MetforminXR,Plant_B,Line_1,2024-11-30,5.22,71.19,1.16,7.16,231.0,90.43,Pass,2024-11-30 05:13:12.000000000
BATCH_0152,AmoxiTab,Plant_A,Line_3,2024-04-26,9.42,67.42,1.22,6.29,236.0,94.77,Pass,2024-04-26 09:25:12.000000000
BATCH_0153,AtorvaCap,Plant_B,Line_1,2024-01-07,8.51,72.41,1.51,7.05,216.0,94.52,Pass,2024-01-07 08:30:36.000000000
BATCH_0154,AtorvaCap,Plant_A,Line_2,2024-05-16,6.33,81.04,1.61,7.01,273.0,94.36,Pass,2024-05-16 06:19:48.000000000
BATCH_0155,AmoxiTab,Plant_B,Line_2,2024-06-24,9.2,63.98,1.84,6.94,235.0,92.14,Pass,2024-06-24 09:12:00.000000000
BATCH_0156,AtorvaCap,Plant_A,Line_2,2024-11-23,7.4,69.81,1.66,6.79,275.0,92.68,Pass,2024-11-23 07:24:00.000000000
BATCH_0157,AtorvaCap,Plant_A,Line_1,2024-11-10,7.61,74.36,1.45,7.07,200.0,92.92,Pass,2024-11-10 07:36:36.000000000
BATCH_0158,AmoxiTab,Plant_A,Line_2,2024-08-02,7.24,70.61,1.62,7.08,201.0,89.38,Pass,2024-08-02 07:14:24.000000000
BATCH_0159,AmoxiTab,Plant_A,Line_3,2024-03-22,8.45,72.36,1.59,6.54,236.0,97.9,Pass,2024-03-22 08:27:00.000000000
BATCH_0160,AtorvaCap,Plant_A,Line_3,2024-08-10,6.82,72.44,2.02,6.98,212.0,97.33,Pass,2024-08-10 06:49:12.000000000
BATCH_0161,AtorvaCap,Plant_A,Line_1,2024-04-12,9.35,73.71,1.55,6.72,271.0,95.18,Pass,2024-04-12 09:21:00.000000000
BATCH_0162,AtorvaCap,Plant_B,Line_3,2024-09-29,7.79,71.35,1.39,6.21,230.0,90.3,Pass,2024-09-29 07:47:24.000000000
BATCH_0163,MetforminXR,Plant_A,Line_3,2024-01-14,7.45,70.94,1.63,6.58,189.0,94.16,Pass,2024-01-14 07:27:00.000000000
BATCH_0164,MetforminXR,Plant_B,Line_1,2024-06-07,9.13,79.67,1.56,6.17,168.0,95.91,Pass,2024-06-07 09:07:48.000000000
BATCH_0165,MetforminXR,Plant_A,Line_2,2024-05-31,7.52,80.25,1.03,7.19,218.0,87.11,Pass,2024-05-31 07:31:12.000000000
BATCH_0166,AmoxiTab,Plant_B,Line_2,2024-04-17,9.42,68.1,1.5,6.94,217.0,98.78,Pass,2024-04-17 09:25:12.000000000
BATCH_0167,MetforminXR,Plant_B,Line_2,2024-07-06,9.47,61.2,1.47,6.66,229.0,85.04,Pass,2024-07-06 09:28:12.000000000
BATCH_0168,AmoxiTab,Plant_B,Line_1,2024-10-27,6.0,80.32,1.34,7.37,256.0,94.82,Pass,2024-10-27 06:00:00.000000000
BATCH_0169,AmoxiTab,Plant_A,Line_3,2024-04-07,9.66,68.86,1.81,6.83,252.0,97.81,Pass,2024-04-07 09:39:36.000000000
BATCH_0170,MetforminXR,Plant_A,Line_2,2024-05-10,5.81,76.06,1.26,6.23,203.0,91.55,Pass,2024-05-10 05:48:36.000000000
BATCH_0171,MetforminXR,Plant_B,Line_2,2024-10-19,9.76,67.17,1.64,6.62,181.0,91.4,Pass,2024-10-19 09:45:36.000000000
BATCH_0172,MetforminXR,Plant_A,Line_1,2024-06-19,11.04,81.49,1.46,7.45,183.0,94.67,Pass,2024-06-19 11:02:24.000000000
BATCH_0173,AtorvaCap,Plant_B,Line_2,2024-07-01,9.31,87.72,1.53,6.53,198.0,99.41,Pass,2024-07-01 09:18:36.000000000
BATCH_0174,MetforminXR,Plant_A,Line_1,2024-12-29,4.76,75.91,1.62,6.91,209.0,90.88,Pass,2024-12-29 04:45:36.000000000
BATCH_0175,AtorvaCap,Plant_B,Line_3,2024-02-08,9.6,74.53,1.11,7.1,229.0,88.88,Pass,2024-02-08 09:36:00.000000000
