Product_Name,Manufacturing_Site,Manufacturing_Line,Batch_Start_Time,Reaction_Time,Reactor_Temp,Pressure,pH,Agitation_Speed,Yield,Batch_Status,Batch_End_Time,Sample_ID,Instrument_Type,Retention_Time,Impurity_A,Impurity_B,Total_Impurity,Purity,Test_Date,temp_mean,temp_max,pressure_mean,pressure_max,ph_mean,ph_std,oxygen_mean,temp_pressure_ratio,reaction_intensity,impurity_ratio
AmoxiTab,Plant_B,Line_1,2024-03-15,7.69,78.36,1.19,7.53,227.0,96.91,Pass,2024-03-15 07:41:24.000000000,SMP_00025,UPLC,5.343,0.2878,0.1405,0.4283,95.717,2024-03-10,74.51439,75.946,1.5526900000000001,1.658,6.79669,0.04837306517415896,35.86529,35.78082191780822,602.5884,0.004428383841517004
AmoxiTab,Plant_A,Line_2,2024-11-21,11.23,76.97,1.66,6.7,275.0,89.82,Pass,2024-11-21 11:13:48.000000000,SMP_00026,UPLC,5.52,0.2058,0.1544,0.3602,96.398,2024-04-27,74.21149,76.311,1.57268,1.68,6.82126,0.05170909694696575,38.94278,28.93609022556391,864.3731,0.003698227889689727
AtorvaCap,Plant_A,Line_3,2024-05-25,9.76,70.62,0.98,6.66,177.0,98.09,Pass,2024-05-25 09:45:36.000000000,SMP_00027,UPLC,5.365,0.3821,0.1083,0.4904,95.096,2024-07-16,72.68494,74.863,1.7044,1.823,6.74707,0.04654383293024303,26.47098,35.66666666666667,689.2512,0.005103230103230103
AtorvaCap,Plant_A,Line_2,2024-05-07,7.85,72.92,1.29,6.44,215.0,92.24,Pass,2024-05-07 07:51:00.000000000,SMP_00028,UPLC,5.199,0.0595,0.1227,0.1822,98.178,2024-07-23,75.36003,77.259,1.54132,1.643,6.65575,0.056171162485295724,40.75454,31.842794759825328,572.422,0.0018371009699731796
AtorvaCap,Plant_A,Line_3,2024-12-06,10.25,69.1,1.97,6.6,232.0,86.37,Pass,2024-12-06 10:15:00.000000000,SMP_00029,HPLC,5.021,0.1279,0.1249,0.2528,97.472,2024-08-01,71.76467,73.665,1.52603,1.66,6.76871,0.04953894397034499,45.80892,23.265993265993266,708.275,0.002567227232106589
MetforminXR,Plant_A,Line_3,2024-02-11,10.53,79.9,1.67,6.47,243.0,91.32,Pass,2024-02-11 10:31:48.000000000,SMP_00030,HPLC,5.38,0.288,0.2138,0.5018,94.982,2024-02-25,74.75902,76.64,1.45435,1.58,6.70495,0.050818626784701955,36.39732,29.925093632958806,841.347,0.005228063595257445
AtorvaCap,Plant_A,Line_1,2024-12-21,7.31,73.72,1.74,6.44,183.0,87.75,Pass,2024-12-21 07:18:36.000000000,SMP_00031,HPLC,5.01,0.4251,0.0419,0.467,95.33,2024-10-13,74.33638,76.076,1.49155,1.614,6.60796,0.047795211289649246,36.44782,26.905109489051092,538.8932,0.0048479186131008
MetforminXR,Plant_B,Line_1,2024-02-10,10.6,83.96,1.3,7.28,174.0,94.36,Pass,2024-02-10 10:36:00.000000000,SMP_00032,HPLC,4.93,0.2275,0.1618,0.3893,96.107,2024-10-19,74.62841,76.113,1.61801,1.756,6.806979999999999,0.04912650748194632,45.47422,36.504347826086956,889.9759999999999,0.004008979785185414
MetforminXR,Plant_A,Line_2,2024-02-03,9.61,75.41,1.04,6.48,253.0,90.95,Pass,2024-02-03 09:36:36.000000000,SMP_00033,HPLC,5.138,0.1658,0.093,0.2588,97.412,2024-06-23,74.96301,77.732,1.50521,1.617,6.82712,0.051515473795783265,49.28099,36.9656862745098,724.6900999999999,0.00262976059830102
AtorvaCap,Plant_A,Line_1,2024-01-17,11.55,73.9,1.71,6.9,198.0,92.65,Pass,2024-01-17 11:33:00.000000000,SMP_00034,HPLC,4.793,0.3501,0.0959,0.446,95.54,2024-12-12,71.2453,72.951,1.70396,1.837,6.89902,0.04784697408711372,35.24387,27.26937269372694,853.5450000000001,0.0046198466956701885
MetforminXR,Plant_A,Line_1,2024-06-13,7.36,73.42,1.78,6.82,197.0,90.52,Pass,2024-06-13 07:21:36.000000000,SMP_00035,HPLC,4.924,0.2824,0.1379,0.4203,95.797,2024-05-07,77.73473,79.716,1.55754,1.716,6.9561,0.04912167946985716,40.118,26.41007194244604,540.3712,0.004342076717253634
AtorvaCap,Plant_B,Line_3,2024-06-01,7.47,73.78,1.77,7.4,267.0,89.78,Pass,2024-06-01 07:28:12.000000000,SMP_00036,HPLC,5.577,0.379,0.1789,0.5579,94.421,2024-11-20,73.44627,75.671,1.49442,1.62,6.872179999999999,0.05682391373107943,36.49147,26.635379061371843,551.1366,0.00584672137160583
AtorvaCap,Plant_B,Line_1,2024-03-16,4.96,75.55,1.56,6.6,222.0,88.11,Pass,2024-03-16 04:57:36.000000000,SMP_00037,UPLC,4.887,0.121,0.1628,0.2838,97.162,2024-10-18,77.74455,79.445,1.3659000000000001,1.485,6.8886,0.04535894998161161,40.81912,29.51171875,374.728,0.00289113913734439
AmoxiTab,Plant_A,Line_3,2024-03-27,8.86,87.56,1.21,6.95,222.0,95.34,Pass,2024-03-27 08:51:36.000000000,SMP_00038,UPLC,4.962,0.3712,0.0949,0.4661,95.339,2024-10-14,74.40955,76.303,1.56506,1.693,6.83957,0.050265206754782334,38.96232,39.619909502262445,775.7816,0.004838123708985976
AtorvaCap,Plant_B,Line_3,2024-04-26,8.56,73.31,2.23,7.12,215.0,91.31,Pass,2024-04-26 08:33:36.000000000,SMP_00039,HPLC,5.214,0.0952,0.2377,0.3329,96.671,2024-08-13,75.65885,78.128,1.42739,1.564,6.78011,0.05092694212637781,39.01092,22.696594427244584,627.5336000000001,0.003408381198103838
AmoxiTab,Plant_A,Line_3,2024-12-27,7.16,73.47,1.64,7.4,183.0,90.74,Pass,2024-12-27 07:09:36.000000000,SMP_00040,UPLC,5.225,0.2212,0.1078,0.329,96.71,2024-03-04,74.2604,76.458,1.43201,1.61,6.8885000000000005,0.054757039121315985,31.589630000000003,27.829545454545457,526.0452,0.003367106744447856
AtorvaCap,Plant_A,Line_2,2024-12-07,7.88,75.33,1.45,6.59,240.0,91.21,Pass,2024-12-07 07:52:48.000000000,SMP_00041,HPLC,5.153,0.2913,0.1212,0.4125,95.875,2024-02-17,74.12077000000001,75.896,1.27978,1.398,6.722440000000001,0.05013946609813543,45.22277,30.746938775510202,593.6003999999999,0.004258064516129032
AtorvaCap,Plant_B,Line_2,2024-01-27,6.03,80.45,1.45,6.55,232.0,89.28,Pass,2024-01-27 06:01:48.000000000,SMP_00042,HPLC,4.799,0.2686,0.2028,0.4714,95.286,2024-07-20,73.1062,74.892,1.7515399999999999,1.897,6.7838,0.04422257753270797,37.92844,32.83673469387755,485.11350000000004,0.004895831169640446
AmoxiTab,Plant_A,Line_2,2024-11-08,9.8,67.9,1.54,6.38,225.0,90.75,Pass,2024-11-08 09:48:00.000000000,SMP_00043,UPLC,5.37,0.3561,0.2056,0.5617,94.383,2024-12-02,72.74074,75.178,1.3996000000000002,1.511,6.62321,0.04935038505473378,40.37247,26.73228346456693,665.4200000000001,0.005888890053783169
AmoxiTab,Plant_B,Line_3,2024-10-13,7.27,77.28,1.82,7.69,217.0,92.82,Pass,2024-10-13 07:16:12.000000000,SMP_00044,HPLC,5.111,0.0673,0.1311,0.1984,98.016,2024-02-29,74.94562,77.731,1.51029,1.624,6.89929,0.046714541460217494,47.64335,27.404255319148934,561.8256,0.0020037165710592225
AtorvaCap,Plant_B,Line_2,2024-05-13,12.64,70.91,1.56,7.35,211.0,87.86,Pass,2024-05-13 12:38:24.000000000,SMP_00045,HPLC,5.444,0.2641,0.0549,0.319,96.81,2024-09-13,78.44698,79.95,1.6015700000000002,1.717,6.67126,0.04737250193301965,43.91375,27.699218749999996,896.3024,0.0032614252121459975
MetforminXR,Plant_A,Line_2,2024-08-06,7.74,77.77,1.76,6.78,247.0,88.44,Pass,2024-08-06 07:44:24.000000000,SMP_00046,HPLC,5.071,0.37,0.1092,0.4792,95.208,2024-03-05,71.64693,73.701,1.47828,1.615,6.82468,0.05336341575849635,36.70295,28.17753623188406,601.9398,0.004980874771328788
AmoxiTab,Plant_A,Line_1,2024-06-16,6.86,72.53,1.55,7.57,216.0,97.51,Pass,2024-06-16 06:51:36.000000000,SMP_00047,HPLC,5.396,0.2559,0.193,0.4489,95.511,2024-08-26,76.07302,78.58,1.51904,1.641,6.771100000000001,0.053386621106147183,31.44741,28.443137254901963,497.55580000000003,0.004651283273409249
MetforminXR,Plant_B,Line_2,2024-04-07,7.38,63.48,1.47,6.76,218.0,90.55,Pass,2024-04-07 07:22:48.000000000,SMP_00048,HPLC,5.459,0.1358,0.2351,0.3709,96.291,2024-10-15,76.62747,78.516,1.54778,1.662,6.83671,0.055420029745297944,32.75907,25.700404858299596,468.4824,0.003812274516656217
MetforminXR,Plant_A,Line_2,2024-09-24,5.88,76.85,1.69,7.09,236.0,89.79,Pass,2024-09-24 05:52:48.000000000,SMP_00049,HPLC,5.107,0.3508,0.1737,0.5245,94.755,2024-02-07,72.05648000000001,74.402,1.56236,1.687,6.91812,0.050984505469601156,38.37081,28.56877323420074,451.878,0.005477520756096288
MetforminXR,Plant_A,Line_3,2024-08-24,8.72,76.81,1.68,6.8,226.0,86.62,Pass,2024-08-24 08:43:12.000000000,SMP_00050,HPLC,5.376,0.1852,0.1417,0.3269,96.731,2024-01-25,75.31877,77.393,1.5841800000000001,1.713,6.7213199999999995,0.046016439750079734,34.84418,28.660447761194035,669.7832000000001,0.003344895683048368
AmoxiTab,Plant_A,Line_3,2024-11-04,7.37,72.1,1.45,6.96,269.0,95.4,Pass,2024-11-04 07:22:12.000000000,SMP_00051,UPLC,4.934,0.1676,0.3635,0.5311,94.689,2024-02-28,75.35155,77.609,1.6445699999999999,1.785,6.812380000000001,0.05259004399382755,43.1423,29.428571428571423,531.377,0.005550272236098193
MetforminXR,Plant_B,Line_3,2024-06-21,9.7,71.81,1.28,6.92,167.0,87.78,Pass,2024-06-21 09:42:00.000000000,SMP_00052,UPLC,5.253,0.155,0.1502,0.3052,96.948,2024-12-22,73.9363,76.092,1.45363,1.566,6.81139,0.04843883887038496,37.90249,31.495614035087716,696.557,0.003115939069710459
AmoxiTab,Plant_B,Line_3,2024-07-08,7.59,68.44,1.6,6.63,229.0,91.94,Pass,2024-07-08 07:35:24.000000000,SMP_00053,HPLC,5.444,0.2301,0.229,0.4591,95.409,2024-10-23,75.65068000000001,78.169,1.58554,1.721,6.747380000000001,0.04666964925533679,39.918710000000004,26.323076923076922,519.4596,0.004762003547386654
MetforminXR,Plant_A,Line_3,2024-05-01,10.08,78.87,1.52,7.24,199.0,85.17,Pass,2024-05-01 10:04:48.000000000,SMP_00054,UPLC,5.304,0.2683,0.0732,0.3415,96.585,2024-06-06,73.03154,74.986,1.41348,1.531,6.93783,0.046918165377860276,42.96815000000001,31.297619047619047,795.0096000000001,0.003499513244863453
AtorvaCap,Plant_B,Line_3,2024-02-15,9.14,79.41,1.33,7.09,192.0,95.27,Pass,2024-02-15 09:08:24.000000000,SMP_00055,HPLC,5.681,0.1231,0.0928,0.2159,97.841,2024-02-26,75.01334,77.056,1.46837,1.604,6.820309999999999,0.05084035122942519,47.15572,34.08154506437768,725.8074,0.0021843162250483102
AtorvaCap,Plant_B,Line_2,2024-03-04,8.04,70.6,1.25,7.21,206.0,96.71,Pass,2024-03-04 08:02:24.000000000,SMP_00056,HPLC,5.315,0.1436,0.2318,0.3754,96.246,2024-02-17,74.80011,76.867,1.29374,1.439,6.46682,0.046190947558624684,43.095079999999996,31.377777777777776,567.6239999999999,0.0038603130205869655
AmoxiTab,Plant_B,Line_3,2024-05-09,10.37,72.3,1.62,6.93,222.0,93.94,Pass,2024-05-09 10:22:12.000000000,SMP_00057,HPLC,5.127,0.1806,0.2636,0.4442,95.558,2024-11-23,77.52652,80.948,1.4374799999999999,1.564,6.934640000000001,0.04939032743811723,37.52683,27.59541984732824,749.7509999999999,0.004600343834793595
AtorvaCap,Plant_B,Line_3,2024-11-05,9.43,74.68,1.67,6.44,223.0,85.86,Pass,2024-11-05 09:25:48.000000000,SMP_00058,HPLC,5.768,0.1545,0.1488,0.3033,96.967,2024-02-25,76.25744,78.923,1.40025,1.541,6.802759999999999,0.04858567773334117,37.078829999999996,27.970037453183522,704.2324000000001,0.003095940469750018
AtorvaCap,Plant_B,Line_1,2024-12-28,12.42,86.35,1.39,7.48,174.0,95.36,Pass,2024-12-28 12:25:12.000000000,SMP_00059,UPLC,5.527,0.2537,0.0321,0.2858,97.142,2024-03-05,75.18675,76.975,1.5609600000000001,1.663,6.64579,0.04608365143185735,36.76537,36.12970711297071,1072.4669999999999,0.002912106947076685
MetforminXR,Plant_A,Line_2,2024-07-11,7.39,77.73,1.33,6.69,204.0,88.69,Pass,2024-07-11 07:23:24.000000000,SMP_00060,UPLC,4.879,0.2861,0.1666,0.4527,95.473,2024-09-24,75.69688000000001,77.674,1.68292,1.795,6.79537,0.04792980030811458,31.941010000000002,33.36051502145923,574.4247,0.004692504638603547
AmoxiTab,Plant_A,Line_2,2024-11-02,8.11,70.28,1.25,6.95,228.0,87.32,Pass,2024-11-02 08:06:36.000000000,SMP_00061,UPLC,5.043,0.2724,0.1952,0.4676,95.324,2024-03-09,77.5195,79.972,1.66405,1.799,6.7701199999999995,0.050131399060042166,39.69584,31.235555555555557,569.9707999999999,0.0048544495660479215
MetforminXR,Plant_A,Line_2,2024-06-29,10.35,76.52,1.61,7.05,194.0,90.47,Pass,2024-06-29 10:21:00.000000000,SMP_00062,UPLC,4.992,0.2725,0.1879,0.4604,95.396,2024-08-03,76.694,78.508,1.6066999999999998,1.731,6.63046,0.05023066390124256,32.58915,29.318007662835242,791.982,0.004776131789700817
MetforminXR,Plant_B,Line_3,2024-10-18,5.68,68.12,1.26,6.94,187.0,90.39,Pass,2024-10-18 05:40:48.000000000,SMP_00063,HPLC,5.329,0.4171,0.1349,0.552,94.48,2024-03-29,74.85065,76.482,1.5786699999999998,1.712,6.91538,0.04324648172762942,42.27219,30.141592920353986,386.9216,0.005781315458734814
MetforminXR,Plant_B,Line_3,2024-10-08,9.98,78.59,2.17,7.17,152.0,89.98,Pass,2024-10-08 09:58:48.000000000,SMP_00064,UPLC,5.314,0.2924,0.1678,0.4602,95.398,2024-10-07,70.4709,72.407,1.4661199999999999,1.615,6.84187,0.0470073398524102,42.00499,24.791798107255524,784.3282,0.004773957965932904
MetforminXR,Plant_A,Line_3,2024-01-29,8.66,83.38,1.38,7.23,200.0,97.09,Pass,2024-01-29 08:39:36.000000000,SMP_00065,HPLC,5.313,0.3284,0.12,0.4484,95.516,2024-09-13,77.37418,80.114,1.6207099999999999,1.762,6.88067,0.05714876122096522,40.55933,35.03361344537815,722.0708,0.004645861826018484
MetforminXR,Plant_B,Line_1,2024-05-28,6.67,83.4,0.77,6.71,186.0,100.05,Pass,2024-05-28 06:40:12.000000000,SMP_00066,HPLC,4.874,0.2085,0.0911,0.2996,97.004,2024-06-08,75.08973,76.3,1.3464699999999998,1.473,6.829,0.048373964113357544,40.32691,47.118644067796616,556.278,0.003057018080894657
MetforminXR,Plant_A,Line_3,2024-09-23,5.96,78.67,1.49,7.45,190.0,86.52,Pass,2024-09-23 05:57:36.000000000,SMP_00067,UPLC,5.072,0.3444,0.2405,0.5849,94.151,2024-08-21,71.78345,73.955,1.40429,1.551,6.72521,0.05142520213029225,37.79247,31.594377510040157,468.8732,0.0061470714968839
MetforminXR,Plant_A,Line_1,2024-10-22,6.99,72.08,1.48,6.69,212.0,89.24,Pass,2024-10-22 06:59:24.000000000,SMP_00068,HPLC,5.17,0.2038,0.1878,0.3916,96.084,2024-05-10,77.48479,80.245,1.51359,1.618,6.81865,0.04774646319335865,41.51,29.064516129032256,503.8392,0.004033620369988875
AmoxiTab,Plant_A,Line_2,2024-01-11,4.57,68.5,1.83,6.93,202.0,92.57,Pass,2024-01-11 04:34:11.999999999,SMP_00069,UPLC,4.836,0.2911,0.1679,0.459,95.41,2024-02-18,75.70522,78.135,1.62083,1.749,6.89067,0.04665347324322783,44.98497999999999,24.20494699646643,313.045,0.004760916917332227
AtorvaCap,Plant_B,Line_3,2024-06-12,7.27,68.0,1.59,6.64,185.0,90.45,Pass,2024-06-12 07:16:12.000000000,SMP_00070,UPLC,5.026,0.1129,0.1394,0.2523,97.477,2024-05-26,76.3012,78.144,1.4194300000000002,1.55,6.97798,0.059149012304227574,32.32327,26.254826254826256,494.35999999999996,0.002562019557866304
MetforminXR,Plant_B,Line_1,2024-04-22,8.93,60.97,1.25,6.53,157.0,93.6,Pass,2024-04-22 08:55:48.000000000,SMP_00071,UPLC,5.471,0.2666,0.1656,0.4322,95.678,2024-11-11,75.51484,77.653,1.55726,1.673,6.74254,0.0527788257205903,39.736219999999996,27.09777777777778,544.4621,0.004470510353958501
MetforminXR,Plant_A,Line_1,2024-07-05,7.29,78.47,1.41,7.22,229.0,95.66,Pass,2024-07-05 07:17:23.999999999,SMP_00072,UPLC,4.889,0.1525,0.1928,0.3453,96.547,2024-01-02,74.20595,75.63,1.41249,1.516,6.87467,0.05150758598635191,41.96122999999999,32.56016597510373,572.0463,0.0035398320809455954
MetforminXR,Plant_A,Line_3,2024-10-21,10.08,74.49,1.6,8.05,243.0,95.0,Pass,2024-10-21 10:04:48.000000000,SMP_00073,UPLC,5.491,0.3436,0.3183,0.6619,93.381,2024-11-24,74.25697,76.825,1.5864500000000001,1.694,6.64878,0.05136531471290281,33.8746,28.65,750.8592,0.007013064070098855
MetforminXR,Plant_A,Line_2,2024-08-19,10.49,79.55,0.85,6.66,208.0,94.44,Pass,2024-08-19 10:29:24.000000000,SMP_00074,HPLC,5.418,0.3376,0.2324,0.57,94.3,2024-05-24,70.56021,71.995,1.6330099999999999,1.776,6.859389999999999,0.04875042501757243,37.76781,42.99999999999999,834.4795,0.005981112277019937
MetforminXR,Plant_A,Line_2,2024-08-14,9.91,82.14,1.9,7.29,212.0,98.64,Pass,2024-08-14 09:54:36.000000000,SMP_00075,UPLC,5.142,0.2033,0.1267,0.33,96.7,2024-03-01,74.25497,76.054,1.50794,1.617,6.777,0.05479843690169176,36.00354,28.324137931034485,814.0074,0.0033776867963152507
MetforminXR,Plant_B,Line_2,2024-11-05,8.35,75.5,1.25,6.67,220.0,85.64,Pass,2024-11-05 08:21:00.000000000,SMP_00076,UPLC,5.07,0.455,0.1275,0.5825,94.175,2024-09-29,75.95168,78.21,1.2309,1.386,6.80251,0.05129681798468138,45.15625,33.55555555555556,630.425,0.006120304701864986
